device_id,humidity,light,raw,temperature,time
device_001,,,,,2019-06-01T07:47:10.1040777Z
device_001,,,,,2019-06-01T07:47:24.953882222Z
device_001,,,,,2019-06-01T07:47:40.30766119Z
device_001,,,,,2019-06-01T07:47:55.174863194Z
device_001,,,,,2019-06-01T07:48:10.008012438Z
device_001,,,,,2019-06-01T07:48:25.354727573Z
device_001,,,,,2019-06-01T07:48:40.211059026Z
device_001,,,,,2019-06-01T07:48:55.054238617Z
device_001,,,,,2019-06-01T07:49:10.404017566Z
device_001,,,,,2019-06-01T07:49:25.25408709Z
device_001,62,84.17,NjItMzAtODQuMTc=,30,2019-06-01T07:52:30.674079159Z
device_001,62,89.17,NjItMzAtODkuMTc=,30,2019-06-01T07:52:45.532007117Z
device_001,64,60,NjQtMzAtNjAuMDA=,30,2019-06-01T07:53:00.425922043Z
device_001,62,87.5,NjItMzAtODcuNTA=,30,2019-06-01T07:53:15.786665742Z
device_001,63,86.67,NjMtMzAtODYuNjc=,30,2019-06-01T07:53:30.645074303Z
device_001,62,84.17,NjItMzAtODQuMTc=,30,2019-06-01T07:53:45.496897733Z
device_001,62,88.33,NjItMzAtODguMzM=,30,2019-06-01T07:54:00.860191143Z
device_001,61,87.5,NjEtMzAtODcuNTA=,30,2019-06-01T07:54:15.714185083Z
device_001,61,86.67,NjEtMzAtODYuNjc=,30,2019-06-01T07:54:30.571900741Z
device_001,62,87.5,NjItMzAtODcuNTA=,30,2019-06-01T07:54:45.42569238Z
device_001,61,87.5,NjEtMzAtODcuNTA=,30,2019-06-01T07:55:00.78247656Z
device_001,61,90,NjEtMzAtOTAuMDA=,30,2019-06-01T07:55:15.64298283Z
device_001,61,90,NjEtMzAtOTAuMDA=,30,2019-06-01T07:55:30.501766793Z
device_001,61,89.17,NjEtMzAtODkuMTc=,30,2019-06-01T07:55:45.857248467Z
device_001,61,88.33,NjEtMzAtODguMzM=,30,2019-06-01T07:56:00.713696418Z
device_001,61,89.17,NjEtMzAtODkuMTc=,30,2019-06-01T07:56:15.581821124Z
device_001,61,86.67,NjEtMzAtODYuNjc=,30,2019-06-01T07:56:30.457579365Z
device_001,61,88.33,NjEtMzAtODguMzM=,30,2019-06-01T07:56:45.817686961Z
device_001,61,89.17,NjEtMzAtODkuMTc=,30,2019-06-01T07:57:00.679257436Z
device_001,61,89.17,NjEtMzAtODkuMTc=,30,2019-06-01T07:57:15.534902884Z
device_001,62,89.17,NjItMzAtODkuMTc=,30,2019-06-01T07:57:30.889630155Z
device_001,61,89.17,NjEtMzAtODkuMTc=,30,2019-06-01T07:57:45.74693581Z
device_001,61,88.33,NjEtMzAtODguMzM=,30,2019-06-01T07:58:00.599311843Z
device_001,61,88.33,NjEtMzAtODguMzM=,30,2019-06-01T07:58:15.457642503Z
device_001,61,81.67,NjEtMzAtODEuNjc=,30,2019-06-01T07:58:30.82441443Z
