humidity,light,temperature,has_human
59,70,30,1
58,71.67,30,1
57,70.83,30,1
56,70.83,30,1
56,70.83,30,1
56,70.83,30,1
56,70.83,30,1
55,70.83,30,1
55,70,30,1
54,70.83,30,1
54,70,29,1
55,69.17,29,1
55,69.17,29,1
54,68.33,29,1
54,68.33,29,1
53,67.5,29,1
53,67.5,29,1
53,66.67,29,1
53,67.5,29,1
53,65.83,29,1
53,65.83,29,1
53,65.83,29,1
52,65.83,29,1
53,65.83,29,1
53,65,29,1
52,65,29,1
52,64.17,29,1
52,64.17,29,1
52,64.17,29,1
51,65,29,1
51,64.17,29,1
51,64.17,29,1
51,63.33,29,1
51,63.33,29,1
51,63.33,29,1
50,63.33,29,1
50,63.33,29,1
50,62.5,29,1
50,62.5,29,1
50,62.5,29,1
50,62.5,29,1
50,62.5,29,1
50,62.5,29,1
50,62.5,29,1
50,62.5,29,1
50,62.5,29,1
49,62.5,28,1
50,63.33,28,1
50,63.33,28,1
50,62.5,28,1
50,62.5,28,1
50,61.67,28,1
51,61.67,28,1
52,62.5,29,1
52,61.67,29,1
52,61.67,29,1
52,61.67,29,1
52,61.67,29,1
52,61.67,29,1
52,61.67,29,1
52,62.5,29,1
53,62.5,29,1
53,61.67,29,1
53,61.67,29,1
53,61.67,29,1
54,61.67,29,1
54,61.67,29,1
54,61.67,29,1
54,61.67,29,1
55,62.5,29,1
55,63.33,29,1
55,62.5,29,1
55,63.33,29,1
55,63.33,29,1
55,63.33,29,1
56,65,29,1
55,63.33,29,1
55,65.83,29,1
56,65.83,29,1
57,67.5,29,1
56,68.33,29,1
56,70,29,1
56,70,29,1
56,70,29,1
57,70,29,1
57,70.83,29,1
57,70.83,29,1
57,71.67,29,1
57,71.67,29,1
57,71.67,29,1
57,70.83,29,1
58,70.83,29,1
58,70.83,29,1
58,70,29,1
58,70,29,1
58,70,29,1
58,70,29,1
58,69.17,29,1
58,68.33,29,1
58,69.17,29,1
59,68.33,29,1
59,68.33,29,1
60,68.33,29,1
59,68.33,29,1
59,67.5,29,1
60,67.5,29,1
59,67.5,29,1
60,66.67,29,1
59,67.5,29,1
61,67.5,29,1
59,67.5,29,1
59,67.5,29,1
60,68.33,29,1
60,68.33,29,1
60,68.33,29,1
60,68.33,29,1
60,69.17,29,1
60,69.17,29,1
60,70,29,1
60,70,29,1
61,70,29,1
60,70,29,1
60,70,29,1
60,69.17,29,1
60,70,29,1
61,70,29,1
61,70,29,1
61,69.17,29,1
61,69.17,29,1
61,70,29,1
61,69.17,29,1
61,69.17,29,1
62,69.17,29,1
61,69.17,29,1
61,69.17,29,1
61,68.33,29,1
62,68.33,29,1
61,68.33,29,1
62,68.33,29,1
61,68.33,29,1
63,68.33,29,1
63,67.5,29,1
61,67.5,29,1
63,66.67,29,1
63,67.5,29,1
63,67.5,29,1
63,67.5,29,1
63,67.5,29,1
63,67.5,29,1
63,67.5,29,1
61,67.5,29,1
63,67.5,29,1
63,67.5,29,1
62,68.33,29,1
62,68.33,29,1
62,68.33,29,1
63,68.33,29,1
63,69.17,29,1
63,69.17,29,1
63,70,29,1
63,70,29,1
64,70,29,1
62,70.83,29,1
62,70.83,29,1
64,70,29,1
64,70,29,1
64,70,29,1
62,70,29,1
64,70,29,1
64,70,29,1
64,68.33,29,1
64,68.33,29,1
63,68.33,29,1
64,68.33,29,1
64,68.33,29,1
64,68.33,29,1
64,68.33,29,1
63,68.33,29,1
64,68.33,29,1
64,67.5,29,1
64,68.33,29,1
64,67.5,29,1
64,67.5,29,1
63,66.67,29,1
63,67.5,29,1
64,67.5,29,1
64,66.67,29,1
64,66.67,29,1
64,66.67,29,1
64,62.5,29,1
64,63.33,29,1
64,62.5,29,1
64,63.33,29,1
63,60,29,1
64,60.83,29,1
64,60,29,1
64,62.5,29,1
63,62.5,30,1
64,62.5,30,1
63,56.67,30,1
63,62.5,30,1
63,61.67,30,1
63,61.67,30,1
64,61.67,30,1
64,61.67,30,1
65,61.67,30,1
65,61.67,30,1
65,61.67,30,1
65,61.67,30,1
65,60.83,30,1
66,60.83,30,1
66,60.83,29,1
66,60.83,29,1
66,60.83,29,1
66,60.83,29,1
66,60.83,29,1
67,60.83,29,1
67,60.83,29,1
67,60.83,29,1
67,60.83,29,1
67,60.83,29,1
67,60.83,29,1
67,60.83,29,1
67,60.83,29,1
67,60.83,29,1
67,60.83,29,1
67,60.83,29,1
67,60,29,1
68,60,29,1
67,60,29,1
68,60,29,1
68,60,29,1
68,60,29,1
68,60,29,1
68,60,29,1
68,59.17,29,1
68,59.17,29,1
68,60,29,1
68,59.17,29,1
68,59.17,29,1
68,59.17,29,1
68,59.17,29,1
68,59.17,29,1
68,59.17,29,1
68,55.83,29,1
68,80.83,29,1
68,81.67,29,1
68,82.5,29,1
68,84.17,29,1
68,84.17,29,1
68,84.17,29,1
68,84.17,29,1
68,85,29,1
68,84.17,29,1
68,84.17,29,1
69,85,29,1
68,85,29,1
68,85,29,1
68,85,29,1
68,84.17,29,1
68,85,29,1
68,85,30,1
68,85,29,1
68,85,29,1
68,84.17,29,1
68,84.17,29,1
68,85,29,1
68,85,30,1
68,85,30,1
68,85,30,1
68,85,30,1
68,85,30,1
68,85,30,1
68,85,30,1
68,85,30,1
68,84.17,30,1
68,84.17,30,1
68,84.17,30,1
68,84.17,29,1
68,84.17,30,1
68,84.17,30,1
68,84.17,29,1
68,83.33,29,1
68,84.17,29,1
68,84.17,29,1
68,84.17,29,1
68,84.17,29,1
68,84.17,30,1
67,84.17,29,1
68,84.17,30,1
68,84.17,30,1
67,85,30,1
68,84.17,30,1
68,84.17,30,1
68,84.17,30,1
68,84.17,29,1
68,84.17,30,1
68,85,29,1
68,84.17,29,1
68,84.17,30,1
68,84.17,29,1
68,85,30,1
68,85,29,1
68,85,29,1
68,85,30,1
68,85,29,1
68,85,30,1
68,85,29,1
67,84.17,30,1
67,85,30,1
67,85,30,1
67,85,30,1
67,85,30,1
67,85,30,1
67,85,29,1
67,85,29,1
67,85,29,1
67,85,29,1
67,85,30,1
67,84.17,30,1
67,85,29,1
67,85,30,1
66,85,30,1
66,85,30,1
66,85,30,1
67,85,30,1
66,85,30,1
66,84.17,30,1
66,85,30,1
66,84.17,30,1
66,84.17,30,1
66,84.17,30,1
66,84.17,30,1
66,84.17,30,1
66,84.17,30,1
66,84.17,30,1
66,85.83,30,1
65,85.83,30,1
64,84.17,30,1
65,84.17,30,1
64,84.17,30,1
65,84.17,30,1
65,84.17,30,1
64,84.17,30,1
63,84.17,30,1
63,84.17,30,1
63,84.17,30,1
65,83.33,30,1
63,83.33,30,1
63,84.17,30,1
64,83.33,30,1
64,83.33,30,1
64,84.17,30,1
64,83.33,30,1
63,84.17,30,1
64,82.5,30,1
63,82.5,30,1
63,81.67,30,1
64,84.17,30,1
64,83.33,31,1
64,83.33,31,1
63,83.33,31,1
63,83.33,31,1
63,83.33,31,1
62,83.33,31,1
60,83.33,31,1
60,83.33,31,1
58,83.33,31,1
57,82.5,31,1
57,82.5,31,1
57,82.5,31,1
56,82.5,31,1
55,82.5,31,1
56,82.5,31,1
55,82.5,31,1
54,82.5,31,1
54,81.67,31,1
55,82.5,31,1
53,81.67,31,1
53,82.5,31,1
53,81.67,31,1
55,82.5,31,1
53,82.5,31,1
52,81.67,30,1
52,82.5,30,1
54,82.5,30,1
54,81.67,30,1
52,82.5,30,1
52,81.67,30,1
52,82.5,30,1
51,82.5,30,1
52,81.67,30,1
51,81.67,30,1
51,81.67,30,1
51,81.67,30,1
51,81.67,30,1
51,81.67,29,1
51,81.67,29,1
50,81.67,29,1
50,81.67,29,1
50,81.67,29,1
50,81.67,29,1
50,81.67,29,1
50,81.67,29,1
50,81.67,29,1
49,81.67,29,1
49,81.67,29,1
51,81.67,29,1
49,81.67,29,1
49,81.67,29,1
49,81.67,29,1
49,81.67,29,1
49,81.67,29,1
49,81.67,29,1
49,81.67,29,1
49,81.67,29,1
49,81.67,29,1
49,81.67,29,1
48,81.67,29,1
48,81.67,29,1
48,81.67,29,1
48,81.67,29,1
48,81.67,29,1
48,81.67,29,1
47,81.67,28,1
47,81.67,28,1
47,80.83,28,1
47,81.67,28,1
48,81.67,28,1
46,81.67,28,1
47,81.67,28,1
48,81.67,28,1
49,81.67,28,1
50,80.83,28,1
51,81.67,28,1
51,81.67,28,1
52,81.67,28,1
52,81.67,28,1
52,81.67,28,1
53,81.67,28,1
53,81.67,28,1
53,81.67,28,1
54,81.67,28,1
54,81.67,28,1
